Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@Ubisoft,https://twitter.com/Ubisoft/status/1775553914709930054#m,Posted,"Apr 3, 2024 · 4:00 PM UTC",It’s back ✨  Join us live from Los Angeles for #UbiForward on June 10 for updates and upcoming releases!,https://twitter.com/Ubisoft/status/1775553914709930054#m,3632,353,852,807
@Ubisoft,https://twitter.com/Ubisoft/status/1792577590416298448#m,Posted,"May 20, 2024 · 3:26 PM UTC",Tomorrow... #XDefiant,https://twitter.com/Ubisoft/status/1792577590416298448#m,1757,33,154,118
@Ubisoft,https://twitter.com/Ubisoft/status/1791471568373105001#m,Posted,"May 17, 2024 · 2:11 PM UTC",Want to get into some legendary action? 🎮   Shop our sale at the Ubisoft Store and use code LEGEND24* at check out to save even more!    👉 https://ubi.li/AA2Nj *Condition apply,https://twitter.com/Ubisoft/status/1791471568373105001#m,225,2,21,119
@Ubisoft,https://twitter.com/Ubisoft/status/1791151918015812048#m,Posted,"May 16, 2024 · 5:01 PM UTC","The free-to-play fast-paced arena shooter you've been waiting for has arrived, preload now!   #XDefiant drops on May 21 on Playstation 5, XBox Series X/S and Ubisoft Connect PC.  👉 PlayXDefiant.com",https://twitter.com/Ubisoft/status/1791151918015812048#m,1440,26,190,172
@PlayXDefiant,https://twitter.com/PlayXDefiant/status/1790830952475717653#m,Posted,"May 15, 2024 · 7:45 PM UTC","From UI to controls and visuals, see what our teams have added into XDefiant to ensure the fast-paced 6v6 arcade action is playable by as many players as possible!   📰 https://ubi.li/kr6lh",https://twitter.com/PlayXDefiant/status/1790830952475717653#m,1641,9,120,81
@PlayXDefiant,@originaluser,Retweet,"May 15, 2024 · 7:45 PM UTC","From UI to controls and visuals, see what our teams have added into XDefiant to ensure the fast-paced 6v6 arcade action is playable by as many players as possible!   📰 https://ubi.li/kr6lh",https://twitter.com/PlayXDefiant/status/1790830952475717653#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1791097179441938684#m,Posted,"May 16, 2024 · 1:23 PM UTC",⛩ #AssassinsCreedShadows ⛩,https://twitter.com/Ubisoft/status/1791097179441938684#m,13117,205,1070,742
@Ubisoft,https://twitter.com/Ubisoft/status/1790779064258527286#m,Posted,"May 15, 2024 · 4:19 PM UTC",Pre-order available now on the Ubisoft Store: https://ubi.li/HEUcH,https://twitter.com/Ubisoft/status/1790779064258527286#m,429,10,30,325
@Ubisoft,https://twitter.com/Ubisoft/status/1790778016982852004#m,Posted,"May 15, 2024 · 4:15 PM UTC","A new Creed rises over Japan. Assassin's Creed Shadows: available November 15, 2024  #AssassinsCreedShadows",https://twitter.com/Ubisoft/status/1790778016982852004#m,18905,1446,2610,2980
@assassinscreed,https://twitter.com/assassinscreed/status/1790759073639477639#m,Posted,"May 15, 2024 · 3:00 PM UTC",1 hour to go until the Assassin's Creed Shadows Official World Premiere goes live! Join us on the Ubisoft YouTube channel now: https://ubi.li/CTY01 #AssassinsCreedShadows,https://twitter.com/assassinscreed/status/1790759073639477639#m,6944,121,788,267
@assassinscreed,@originaluser,Retweet,"May 15, 2024 · 3:00 PM UTC",1 hour to go until the Assassin's Creed Shadows Official World Premiere goes live! Join us on the Ubisoft YouTube channel now: https://ubi.li/CTY01 #AssassinsCreedShadows,https://twitter.com/assassinscreed/status/1790759073639477639#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1790412418247508306#m,Posted,"May 14, 2024 · 4:02 PM UTC",Play Scott Pilgrim vs. The World: The Game - Complete Edition  and over 100 games with Ubisoft+ on PC https://ubi.li/xa7ox,https://twitter.com/Ubisoft/status/1790412418247508306#m,109,0,7,17
@Ubisoft,https://twitter.com/Ubisoft/status/1790407277016457338#m,Posted,"May 14, 2024 · 3:42 PM UTC",Time to fight 👊  #ScottPilgrim,https://twitter.com/Ubisoft/status/1790407277016457338#m,385,6,34,34
@Ubisoft,https://twitter.com/Ubisoft/status/1790387364801507489#m,Posted,"May 14, 2024 · 2:23 PM UTC",Register now for the opportunity to co-stream Ubisoft Forward on June 10!   ✔ Streamer?  ✔ 18+?  ✔ Want exclusive drops for your viewers?  👉 https://ubi.li/1KG5c,https://twitter.com/Ubisoft/status/1790387364801507489#m,489,10,66,42
@princeofpersia,https://twitter.com/princeofpersia/status/1790019326667259933#m,Posted,"May 13, 2024 · 2:00 PM UTC","Coming to Steam in Early Access May 27, 2024.  Navigate diverse colorful biomes, outmaneuver your enemies thanks to the iconic wall run, swing bar & flips. Die, getter better, unlock new weapons, and retry with a different build!  Wishlist now on Steam ➡️ princeofpersia.com/therogue/…",https://twitter.com/princeofpersia/status/1790019326667259933#m,769,13,147,26
@princeofpersia,@originaluser,Retweet,"May 13, 2024 · 2:00 PM UTC","Coming to Steam in Early Access May 27, 2024.  Navigate diverse colorful biomes, outmaneuver your enemies thanks to the iconic wall run, swing bar & flips. Die, getter better, unlock new weapons, and retry with a different build!  Wishlist now on Steam ➡️ princeofpersia.com/therogue/…",https://twitter.com/princeofpersia/status/1790019326667259933#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1790050193183797636#m,Posted,"May 13, 2024 · 4:03 PM UTC",Wishlist now on the Ubisoft Store https://ubi.li/HEUcH,https://twitter.com/Ubisoft/status/1790050193183797636#m,307,20,25,112
@Ubisoft,https://twitter.com/Ubisoft/status/1790049608720125969#m,Posted,"May 13, 2024 · 4:00 PM UTC","Assassin's Creed Codename Red becomes Assassin's Creed Shadows. Tune-in for the Official Cinematic World Premiere Trailer on May 15, 9 AM PT. #AssassinsCreedShadows",https://twitter.com/Ubisoft/status/1790049608720125969#m,8774,800,2281,385
@princeofpersia,https://twitter.com/princeofpersia/status/1788962207767708115#m,Posted,"May 10, 2024 · 4:00 PM UTC","It's been a bit of a crazy week for roguelite gamers    We've decided to let people have their fun with Hades II before we release The Rogue Prince of Persia. We'll still be releasing later this month, and will be back with a new date on Monday.  ➡️ https://ubi.li/kX7ta",https://twitter.com/princeofpersia/status/1788962207767708115#m,464,8,52,23
@princeofpersia,@originaluser,Retweet,"May 10, 2024 · 4:00 PM UTC","It's been a bit of a crazy week for roguelite gamers    We've decided to let people have their fun with Hades II before we release The Rogue Prince of Persia. We'll still be releasing later this month, and will be back with a new date on Monday.  ➡️ https://ubi.li/kX7ta",https://twitter.com/princeofpersia/status/1788962207767708115#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1788236514826088925#m,Posted,"May 8, 2024 · 3:56 PM UTC","""For what it's worth, I'm sorry""  #AssassinsCreed",https://twitter.com/Ubisoft/status/1788236514826088925#m,1299,22,128,104
@rocksmithplus,https://twitter.com/rocksmithplus/status/1787890207192174706#m,Posted,"May 7, 2024 · 5:00 PM UTC",It's the moment you've been waiting for 👀  PlayStation & Steam coming June 6th! Wishlist today at rocksmith.com 🎸🎹  #rocksmithplus #partner #ibanez #gibson #playstation #steam,https://twitter.com/rocksmithplus/status/1787890207192174706#m,254,20,48,62
@rocksmithplus,@originaluser,Retweet,"May 7, 2024 · 5:00 PM UTC",It's the moment you've been waiting for 👀  PlayStation & Steam coming June 6th! Wishlist today at rocksmith.com 🎸🎹  #rocksmithplus #partner #ibanez #gibson #playstation #steam,https://twitter.com/rocksmithplus/status/1787890207192174706#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1787878960111472685#m,Posted,"May 7, 2024 · 4:15 PM UTC",Want to get into some legendary action? 🎮✨   Shop our sale at the Ubisoft Store and use code LEGEND24* at check out to save even more!   👉 https://ubi.li/AA2Nj *Conditions apply,https://twitter.com/Ubisoft/status/1787878960111472685#m,229,3,24,32
@princeofpersia,https://twitter.com/princeofpersia/status/1787527778469879936#m,Posted,"May 6, 2024 · 5:00 PM UTC",Nothing better than kicking it to the beat. 💥,https://twitter.com/princeofpersia/status/1787527778469879936#m,376,3,41,13
@princeofpersia,@originaluser,Retweet,"May 6, 2024 · 5:00 PM UTC",Nothing better than kicking it to the beat. 💥,https://twitter.com/princeofpersia/status/1787527778469879936#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1787406695238365473#m,Posted,"May 6, 2024 · 8:58 AM UTC","The Ubisoft Photomode contest has wrapped up its internal edition, with team members celebrating the worlds they've created. 📸❤   All winning photos will feature together in an exhibition at @UbisoftMTL 🖼   Here's the 'People’s Choice' vote, which we’re making our new banner!",https://twitter.com/Ubisoft/status/1787406695238365473#m,351,2,27,23
@AvatarFrontiers,https://twitter.com/AvatarFrontiers/status/1783526419793940769#m,Posted,"Apr 25, 2024 · 4:00 PM UTC","Run, jump, slide… and always watch your step! 👀",https://twitter.com/AvatarFrontiers/status/1783526419793940769#m,501,7,61,26
@AvatarFrontiers,@originaluser,Retweet,"Apr 25, 2024 · 4:00 PM UTC","Run, jump, slide… and always watch your step! 👀",https://twitter.com/AvatarFrontiers/status/1783526419793940769#m,,,,
@watchdogsgame,https://twitter.com/watchdogsgame/status/1785338405091443084#m,Posted,"Apr 30, 2024 · 4:00 PM UTC","Watch Dogs: Tokyo is now available  Follow the adventures of Detective Goda and the hacktivist Stainless-Steel-Bat as they investigate the collusion between politicians, Yakuza and the corporation behind a smart city grid used to prevent natural disasters and criminality.",https://twitter.com/watchdogsgame/status/1785338405091443084#m,1464,60,220,129
@watchdogsgame,@originaluser,Retweet,"Apr 30, 2024 · 4:00 PM UTC","Watch Dogs: Tokyo is now available  Follow the adventures of Detective Goda and the hacktivist Stainless-Steel-Bat as they investigate the collusion between politicians, Yakuza and the corporation behind a smart city grid used to prevent natural disasters and criminality.",https://twitter.com/watchdogsgame/status/1785338405091443084#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1786078930190921891#m,Posted,"May 2, 2024 · 5:02 PM UTC","🗣 LETSSS GOOOOOOO ‼  @PlayXDefiant drops on May 21 on Playstation 5, XBox Series X|S and Ubisoft Connect PC:  👉 https://ubi.li/I0ONE",https://twitter.com/Ubisoft/status/1786078930190921891#m,8304,338,1190,394
@TheCrewGame,https://twitter.com/TheCrewGame/status/1785700854596526493#m,Posted,"May 1, 2024 · 4:00 PM UTC","In May, please welcome Chris Forsberg and his team and take the lead of #TheCrewMotorfest Main Stage!",https://twitter.com/TheCrewGame/status/1785700854596526493#m,477,4,55,64
@TheCrewGame,@originaluser,Retweet,"May 1, 2024 · 4:00 PM UTC","In May, please welcome Chris Forsberg and his team and take the lead of #TheCrewMotorfest Main Stage!",https://twitter.com/TheCrewGame/status/1785700854596526493#m,,,,
@assassinscreed,https://twitter.com/assassinscreed/status/1785700720785715678#m,Posted,"May 1, 2024 · 4:00 PM UTC","Assassin's Creed Mirage is coming to iOS! Pre-order now and experience the complete journey of Basim on the go 📱  Out on June 6 for iPhone 15 Pro, iPhone 15 Pro Max, and iPad Air and iPad Pro with M1 chip or later.  More information here: https://assassinscreed.com/mirage/coming_to_ios",https://twitter.com/assassinscreed/status/1785700720785715678#m,1934,55,225,140
@assassinscreed,@originaluser,Retweet,"May 1, 2024 · 4:00 PM UTC","Assassin's Creed Mirage is coming to iOS! Pre-order now and experience the complete journey of Basim on the go 📱  Out on June 6 for iPhone 15 Pro, iPhone 15 Pro Max, and iPad Air and iPad Pro with M1 chip or later.  More information here: https://assassinscreed.com/mirage/coming_to_ios",https://twitter.com/assassinscreed/status/1785700720785715678#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1785685616153223289#m,Posted,"May 1, 2024 · 3:00 PM UTC",always pick the bear 🍔,https://twitter.com/Ubisoft/status/1785685616153223289#m,1395,21,75,91
@Studio_Evil,https://twitter.com/Studio_Evil/status/1785338321843220953#m,Posted,"Apr 30, 2024 · 4:00 PM UTC","You might want to watch this more than once, so we've made a 1-minute loop for you all. #gaming #gameplay #princeofpersia #gamedev #satisfying",https://twitter.com/Studio_Evil/status/1785338321843220953#m,324,3,35,9
@Studio_Evil,@originaluser,Retweet,"Apr 30, 2024 · 4:00 PM UTC","You might want to watch this more than once, so we've made a 1-minute loop for you all. #gaming #gameplay #princeofpersia #gamedev #satisfying",https://twitter.com/Studio_Evil/status/1785338321843220953#m,,,,
